inv_date,invoice_number,account,part_number,qty,sell_price,total_sale_value,disc,cost_price,total_cost_value,profit
11/20/2015,INV7797193,ELEMERA,P125459,1,251.4213,251.4213,36,216.222318,216.222318,35.198982
8/12/2015,INV7796971,ELEMERA,P405890,2,89.433,178.866,36,76.91238,153.82476,25.04124
8/12/2015,INV7796971,ELEMERA,P994166,1,20.8107,20.8107,36,17.897202,17.897202,2.913498
8/12/2015,INV7796971,ELEMERA,P486063,1,3.762,3.762,36,3.23532,3.23532,0.52668
8/12/2015,INV7796971,ELEMERA,P756362,1,22.6746,22.6746,36,19.500156,19.500156,3.174444
12/30/2015,INV7796750,ELEMERA,P405890,1,89.433,89.433,36,76.91238,76.91238,12.52062
12/30/2015,INV7796750,ELEMERA,P796249,2,65.493,130.986,36,56.32398,112.64796,18.33804
12/30/2015,INV7796750,ELEMERA,P629451,2,23.9058,47.8116,36,20.558988,41.117976,6.693624
8/1/2016,INV7796674,ELEMERA,P405890,6,89.433,536.598,36,76.91238,461.47428,75.12372
8/1/2016,INV7796674,ELEMERA,P524240,6,55.5408,333.2448,36,47.765088,286.590528,46.654272
2/26/2016,INV7796121,ELEMERA,P405890,1,89.433,89.433,36,76.91238,76.91238,12.52062
5/4/2016,INV7795679,ELEMERA,P405890,4,89.433,357.732,36,76.91238,307.64952,50.08248
5/4/2016,INV7795679,ELEMERA,P374166,8,3.3858,27.0864,36,2.911788,23.294304,3.792096
5/4/2016,INV7795679,ELEMERA,P962140,8,3.762,30.096,36,3.23532,25.88256,4.21344
5/4/2016,INV7795679,ELEMERA,P693656,8,5.4036,43.2288,36,4.647096,37.176768,6.052032
3/22/2016,INV7795801,ELEMERA,P405890,1,89.433,89.433,36,76.91238,76.91238,12.52062
3/22/2016,INV7795801,ELEMERA,P257706,1,17.6814,17.6814,36,15.206004,15.206004,2.475396
3/22/2016,INV7795801,ELEMERA,P700921,1,493.1982,493.1982,36,424.150452,424.150452,69.047748
